city_id,city_name,total_city_checklists,total_city_locations,total_city_effort,total_city_area_m2,percentage_total_city_area_surveyed
1,Honolulu,4609,1459,111638,343442519.61,57
10,San Jose,106592,13399,3761697,1771367066.43,80
14,Los Angeles,121497,17515,5390320,5688995686.2,61
19,Concord,12338,1742,433900,421668846.47,80
21,Tijuana,65072,7628,2357779,1793051120.44,66
29,Bakersfield,2133,467,68081,319220981.73,37
46,Fresno,3445,887,95305,353354945.35,66
49,Sacramento,29631,3617,1084486,830688076.14,72
57,Mexicali,98,45,2875,186124795.79,13
65,Hermosillo,1005,188,21788,151339620.6,44
73,Culiacán,124,49,4927,132746249.91,18
74,Las Vegas,8749,1371,292430,878525890,48
79,Phoenix,40339,6911,1323476,2319518439.8,66
84,Tucson,34527,3718,1035100,424428365.86,89
88,Guadalajara,882,354,25863,598868424.39,20
93,Durango,89,28,7640,91458584.59,17
101,Portland,80158,8895,2530291,965792741.32,91
111,Chihuahua,106,64,4930,170216745.51,14
112,Aguascalientes,165,81,6720,134929440.37,26
116,Morelia,579,112,48595,112241152.8,35
122,Acapulco,119,62,4045,147150051.9,17
139,Seattle,117934,15400,3818597,1941699802.52,79
140,Querétaro,407,132,16892,168039576.78,29
143,Ciudad Juárez,750,308,24984,537484242.14,15
144,San Luis Potosí,199,110,4198,174622341.27,15
154,Cuernavaca,786,247,33143,218946013.77,33
155,Mexico City,8603,2254,377393,2169817710.17,28
178,Puebla,783,154,24960,527091819.4,12
179,Saltillo,424,134,16181,145903009.18,29
187,Vancouver,35232,4755,1814545,726536991.31,76
193,Salt Lake City,23397,2182,1102870,528114259.18,74
196,Albuquerque,28443,3500,886006,451374129.25,82
200,Monterrey,1734,390,62944,687075388.65,22
202,Oaxaca,1120,351,40444,126295481.64,48
219,Xalapa,1177,294,37093,83962783.82,56
225,Veracruz,650,253,16834,147847541.12,41
234,Nuevo Laredo,1020,199,41114,200384122.49,21
249,Tuxtla Gutiérrez,498,194,16199,105563231.77,46
250,San Antonio,17094,2768,726159,912687920.88,60
255,Villahermosa,1749,90,73234,114337126.42,27
273,Denver,82408,8928,3547613,1369173237.84,83
274,Austin,39563,4860,1723725,641746934.02,88
