city_id,city_name,ebird_species_name,seasonal,presence,origin,relative_abundance_proxy
1,Honolulu,Columba livia,Resident,Extant,Introduced,47.243671422356485
1,Honolulu,Spilopelia chinensis,Resident,Extant,Introduced,81.10229942126404
10,San Jose,Columba livia,Resident,Extant,Introduced,50.45307480856881
10,San Jose,Columbina passerina,Passage,Extant,Native,0
10,San Jose,Patagioenas fasciata,Resident,Extant,Native,19.231867889721503
10,San Jose,Streptopelia decaocto,Resident,Extant,Introduced,30.98684185188785
10,San Jose,Zenaida macroura,Resident,Extant,Native,65.18338925719162
14,Los Angeles,Columba livia,Resident,Extant,Introduced,32.51206992081994
14,Los Angeles,Columbina passerina,Resident,Extant,Native,0.2695319027267918
14,Los Angeles,Patagioenas fasciata,Resident,Extant,Native,16.53723577933428
14,Los Angeles,Streptopelia decaocto,Resident,Extant,Introduced,26.789340468272684
14,Los Angeles,Zenaida asiatica,Breeding Season,Extant,Native,0.5260761878180303
14,Los Angeles,Zenaida macroura,Resident,Extant,Native,63.17895576619357
19,Concord,Columba livia,Resident,Extant,Introduced,30.435749082693015
19,Concord,Patagioenas fasciata,Resident,Extant,Native,14.241468438076147
19,Concord,Streptopelia decaocto,Resident,Extant,Introduced,16.990043990096602
19,Concord,Zenaida macroura,Resident,Extant,Native,62.65660332230979
21,Tijuana,Columba livia,Resident,Extant,Introduced,32.14166156796302
21,Tijuana,Columbina passerina,Resident,Extant,Native,0.3167428812847217
21,Tijuana,Patagioenas fasciata,Resident,Extant,Native,0.393924877423013
21,Tijuana,Streptopelia decaocto,Resident,Extant,Introduced,34.58479400479516
21,Tijuana,Zenaida asiatica,Breeding Season,Extant,Native,1.5094186833978307
21,Tijuana,Zenaida macroura,Resident,Extant,Native,69.95350663453296
29,Bakersfield,Columba livia,Resident,Extant,Introduced,38.95470128056099
29,Bakersfield,Columbina passerina,Resident,Extant,Native,0
29,Bakersfield,Patagioenas fasciata,Resident,Extant,Native,0.62977630008438
29,Bakersfield,Streptopelia decaocto,Resident,Extant,Introduced,43.37623967560223
29,Bakersfield,Zenaida macroura,Resident,Extant,Native,67.31225333650472
46,Fresno,Columba livia,Resident,Extant,Introduced,46.226672572425144
46,Fresno,Patagioenas fasciata,Resident,Extant,Native,1.233273180075989
46,Fresno,Streptopelia decaocto,Resident,Extant,Introduced,27.415026802579423
46,Fresno,Zenaida macroura,Resident,Extant,Native,69.61576680580312
49,Sacramento,Columba livia,Resident,Extant,Introduced,35.67530544437155
49,Sacramento,Patagioenas fasciata,Resident,Extant,Native,0.6332640579479291
49,Sacramento,Streptopelia decaocto,Resident,Extant,Introduced,14.243976533699392
49,Sacramento,Zenaida macroura,Resident,Extant,Native,71.06337739713676
57,Mexicali,Columba livia,Resident,Extant,Introduced,82.12996975351855
57,Mexicali,Columbina passerina,Resident,Extant,Native,10.67771099744661
57,Mexicali,Patagioenas fasciata,Resident,Extant,Native,0
57,Mexicali,Streptopelia decaocto,Resident,Extant,Introduced,75.9220845045723
57,Mexicali,Zenaida asiatica,Resident,Extant,Native,10.663411191853852
57,Mexicali,Zenaida macroura,Resident,Extant,Native,35.21367424876728
65,Hermosillo,Columba livia,Resident,Extant,Introduced,70.30434720252677
65,Hermosillo,Columbina inca,Resident,Extant,Native,61.79350718540514
65,Hermosillo,Columbina passerina,Resident,Extant,Native,3.402470962797282
65,Hermosillo,Patagioenas flavirostris,Resident,Extant,Native,0
65,Hermosillo,Streptopelia decaocto,Resident,Extant,Introduced,86.48531452602876
65,Hermosillo,Zenaida asiatica,Resident,Extant,Native,89.87028307615743
65,Hermosillo,Zenaida macroura,Resident,Extant,Native,58.70675804009981
73,Culiacán,Columba livia,Resident,Extant,Introduced,33.96959954155046
73,Culiacán,Columbina inca,Resident,Extant,Native,43.629911011331885
73,Culiacán,Columbina passerina,Resident,Extant,Native,19.17915278948618
73,Culiacán,Columbina talpacoti,Resident,Extant,Native,15.2850291487089
73,Culiacán,Patagioenas flavirostris,Resident,Extant,Native,12.103885734907958
73,Culiacán,Streptopelia decaocto,Resident,Extant,Introduced,34.77789862422627
73,Culiacán,Zenaida asiatica,Resident,Extant,Native,52.472546229290074
73,Culiacán,Zenaida macroura,Non-breeding Season,Extant,Native,25.040219319169957
74,Las Vegas,Columba livia,Resident,Extant,Introduced,70.01723882309643
74,Las Vegas,Columbina inca,Resident,Extant,Native,6.905940560796259
74,Las Vegas,Columbina passerina,Passage,Extant,Native,0.37143873193643107
74,Las Vegas,Patagioenas fasciata,Breeding Season,Extant,Native,1.2250037811727017
74,Las Vegas,Streptopelia decaocto,Resident,Extant,Introduced,33.703296890238505
74,Las Vegas,Zenaida asiatica,Breeding Season,Extant,Native,9.039044507665114
74,Las Vegas,Zenaida macroura,Resident,Extant,Native,52.557687508261985
79,Phoenix,Columba livia,Resident,Extant,Introduced,59.53567204559434
79,Phoenix,Columbina inca,Resident,Extant,Native,35.11770405165635
79,Phoenix,Columbina passerina,Resident,Extant,Native,1.2588403347518655
79,Phoenix,Patagioenas fasciata,Resident,Extant,Native,0
79,Phoenix,Streptopelia decaocto,Resident,Extant,Introduced,60.04075100258055
79,Phoenix,Zenaida asiatica,Breeding Season,Extant,Native,50.95150794916571
79,Phoenix,Zenaida macroura,Resident,Extant,Native,76.57204996870787
84,Tucson,Columba livia,Resident,Extant,Introduced,64.05410876594084
84,Tucson,Columbina inca,Resident,Extant,Native,3.4567900652645926
84,Tucson,Columbina passerina,Resident,Extant,Native,0.8232116350436356
84,Tucson,Patagioenas fasciata,Resident,Extant,Native,0.40421744784803176
84,Tucson,Streptopelia decaocto,Resident,Extant,Introduced,55.394549333368374
84,Tucson,Zenaida macroura,Resident,Extant,Native,91.63421282076143
88,Guadalajara,Columba livia,Resident,Extant,Introduced,56.89706790031622
88,Guadalajara,Columbina inca,Resident,Extant,Native,77.9925221496974
88,Guadalajara,Columbina passerina,Resident,Extant,Native,1.3073814864109583
88,Guadalajara,Leptotila verreauxi,Resident,Extant,Native,1.6899733898933442
