city_id,city_name,jetz_species_name,total_city_checklists,total_city_locations,total_city_effort,seasonal,presence,origin,total_presence_checklists,total_presence_effort,total_presence_locations,percentage_checklists,percentage_effort,percentage_locations
1,Honolulu,Columba_livia,4609,1459,111638,Resident,Extant,Introduced,1039,33190,501,22.542850943805597,29.730020244002937,34.338588074023306
1,Honolulu,Geopelia_striata,4609,1459,111638,NA,NA,NA,3065,74986,911,66.50032545020612,67.16888514663466,62.44002741603838
1,Honolulu,Stigmatopelia_chinensis,4609,1459,111638,Resident,Extant,Introduced,2818,69831,805,61.14124538945541,62.55128182160196,55.174777244688144
1,Honolulu,Zenaida_macroura,4609,1459,111638,NA,NA,NA,1,60,1,0.02169668040789759,0.05374514054354252,0.06854009595613433
10,San Jose,Columba_livia,106592,13399,3761697,Resident,Extant,Introduced,15345,669250,2553,14.396014710297209,17.79117244158687,19.053660720949324
10,San Jose,Columbina_passerina,106592,13399,3761697,Passage,Extant,Native,0,0,0,0,0,0
10,San Jose,Geopelia_cuneata,106592,13399,3761697,NA,NA,NA,1,62,1,9.381567096967878e-4,0.0016481922919363255,0.007463243525636242
10,San Jose,Patagioenas_fasciata,106592,13399,3761697,Resident,Extant,Native,3222,209803,605,3.0227409186430503,5.577349797179305,4.515262333009926
10,San Jose,Streptopelia_decaocto,106592,13399,3761697,Resident,Extant,Introduced,5644,313511,932,5.29495646952867,8.334296994149183,6.955742965892977
10,San Jose,Streptopelia_orientalis,106592,13399,3761697,NA,NA,NA,172,9713,6,0.16136295406784748,0.25820793115447627,0.04477946115381745
10,San Jose,Streptopelia_roseogrisea,106592,13399,3761697,NA,NA,NA,1,120,1,9.381567096967878e-4,0.003190049597296114,0.007463243525636242
10,San Jose,Zenaida_asiatica,106592,13399,3761697,NA,NA,NA,27,1015,13,0.02533023116181327,0.0269825028437963,0.09702216583327114
10,San Jose,Zenaida_macroura,106592,13399,3761697,Resident,Extant,Native,31400,1476723,3580,29.458120684479134,39.25683009556591,26.718411821777746
14,Los Angeles,Columba_livia,121497,17515,5390320,Resident,Extant,Introduced,11806,549248,2576,9.717112356683705,10.189524926163939,14.707393662574935
