city_id,city_name,total_city_checklists,total_city_effort,total_city_area_m2,total_city_area_surveyed_m2,percentage_total_city_area_surveyed,jetz_species_name,percentage_checklists,percentage_effort,percentage_surveyed_area,seasonal,presence,origin
1,Honolulu,4609,111638,343442519,198401969.72,57,Columba_livia,22.54,29.73,47.243671422356485,Resident,Extant,Introduced
1,Honolulu,4609,111638,343442519,198401969.72,57,Geopelia_striata,66.5,67.17,86.02366035018012,NA,NA,NA
1,Honolulu,4609,111638,343442519,198401969.72,57,Stigmatopelia_chinensis,61.14,62.55,81.10229942126404,Resident,Extant,Introduced
1,Honolulu,4609,111638,343442519,198401969.72,57,Zenaida_macroura,0.02,0.05,0.39568122287692375,NA,NA,NA
10,San Jose,106592,3761697,1771367066,1419866882.54,80,Columba_livia,14.4,17.79,50.45307480856881,Resident,Extant,Introduced
10,San Jose,106592,3761697,1771367066,1419866882.54,80,Columbina_passerina,0,0,0,Passage,Extant,Native
10,San Jose,106592,3761697,1771367066,1419866882.54,80,Geopelia_cuneata,0,0,0.05528964367389449,NA,NA,NA
10,San Jose,106592,3761697,1771367066,1419866882.54,80,Patagioenas_fasciata,3.02,5.58,19.231867889721503,Resident,Extant,Native
10,San Jose,106592,3761697,1771367066,1419866882.54,80,Streptopelia_decaocto,5.29,8.33,30.98684185188785,Resident,Extant,Introduced
10,San Jose,106592,3761697,1771367066,1419866882.54,80,Streptopelia_orientalis,0.16,0.26,0.0677226331443019,NA,NA,NA
10,San Jose,106592,3761697,1771367066,1419866882.54,80,Streptopelia_roseogrisea,0,0,0.05528964367389449,NA,NA,NA
10,San Jose,106592,3761697,1771367066,1419866882.54,80,Zenaida_asiatica,0.03,0.03,0.3391765467044992,NA,NA,NA
10,San Jose,106592,3761697,1771367066,1419866882.54,80,Zenaida_macroura,29.46,39.26,65.18338925719162,Resident,Extant,Native
14,Los Angeles,121497,5390320,NA,3498647887.17,61,Columba_livia,9.72,10.19,32.51206992081994,Resident,Extant,Introduced
14,Los Angeles,121497,5390320,NA,3498647887.17,61,Columbina_inca,0.01,0,0.025727107700685967,NA,NA,NA
14,Los Angeles,121497,5390320,NA,3498647887.17,61,Columbina_passerina,0.04,0.03,0.2695319027267918,Resident,Extant,Native
14,Los Angeles,121497,5390320,NA,3498647887.17,61,Patagioenas_fasciata,11.39,13.78,16.53723577933428,Resident,Extant,Native
14,Los Angeles,121497,5390320,NA,3498647887.17,61,Stigmatopelia_chinensis,0.05,0.04,0.4160293293125199,NA,NA,NA
14,Los Angeles,121497,5390320,NA,3498647887.17,61,Streptopelia_decaocto,8.11,9.5,26.789340468272684,Resident,Extant,Introduced
14,Los Angeles,121497,5390320,NA,3498647887.17,61,Streptopelia_roseogrisea,0,0,0.04616893074388748,NA,NA,NA
14,Los Angeles,121497,5390320,NA,3498647887.17,61,Zenaida_asiatica,0.12,0.27,0.5260761878180303,Breeding Season,Extant,Native
14,Los Angeles,121497,5390320,NA,3498647887.17,61,Zenaida_macroura,49.21,60.22,63.17895576619357,Resident,Extant,Native
19,Concord,12338,433900,421668846,341277991.18,80,Columba_livia,6.46,6.97,30.435749082693015,Resident,Extant,Introduced
19,Concord,12338,433900,421668846,341277991.18,80,Patagioenas_fasciata,6.81,12.84,14.241468438076147,Resident,Extant,Native
19,Concord,12338,433900,421668846,341277991.18,80,Streptopelia_decaocto,2.25,2.61,16.990043990096602,Resident,Extant,Introduced
19,Concord,12338,433900,421668846,341277991.18,80,Zenaida_macroura,41.12,47.69,62.65660332230979,Resident,Extant,Native
21,Tijuana,65072,2357779,1793051120,1185381586.09,66,Columba_livia,12.36,17.56,32.14166156796302,Resident,Extant,Introduced
21,Tijuana,65072,2357779,1793051120,1185381586.09,66,Columbina_passerina,0.03,0.03,0.3167428812847217,Resident,Extant,Native
21,Tijuana,65072,2357779,1793051120,1185381586.09,66,Columbina_talpacoti,0,0,0.06622671966665729,NA,NA,NA
21,Tijuana,65072,2357779,1793051120,1185381586.09,66,Patagioenas_fasciata,0.01,0.02,0.393924877423013,Resident,Extant,Native
21,Tijuana,65072,2357779,1793051120,1185381586.09,66,Stigmatopelia_chinensis,0,0,0.0636652601032307,NA,NA,NA
21,Tijuana,65072,2357779,1793051120,1185381586.09,66,Streptopelia_decaocto,8.89,11.22,34.58479400479516,Resident,Extant,Introduced
21,Tijuana,65072,2357779,1793051120,1185381586.09,66,Streptopelia_roseogrisea,0,0,0.06622671966665729,NA,NA,NA
21,Tijuana,65072,2357779,1793051120,1185381586.09,66,Zenaida_asiatica,0.17,0.24,1.5094186833978307,Breeding Season,Extant,Native
21,Tijuana,65072,2357779,1793051120,1185381586.09,66,Zenaida_macroura,46.5,53.61,69.95350663453296,Resident,Extant,Native
29,Bakersfield,2133,68081,319220981,120544070.95,37,Columba_livia,12.42,16.03,38.95470128056099,Resident,Extant,Introduced
29,Bakersfield,2133,68081,319220981,120544070.95,37,Columbina_passerina,0,0,0,Resident,Extant,Native
29,Bakersfield,2133,68081,319220981,120544070.95,37,Patagioenas_fasciata,0.05,0.01,0.62977630008438,Resident,Extant,Native
29,Bakersfield,2133,68081,319220981,120544070.95,37,Stigmatopelia_chinensis,0.42,0.42,1.9537402473962155,NA,NA,NA
29,Bakersfield,2133,68081,319220981,120544070.95,37,Streptopelia_decaocto,21.19,20.38,43.37623967560223,Resident,Extant,Introduced
29,Bakersfield,2133,68081,319220981,120544070.95,37,Zenaida_macroura,67.56,71.06,67.31225333650472,Resident,Extant,Native
46,Fresno,3445,95305,353354945,233637322.74,66,Columba_livia,27.43,21.04,46.226672572425144,Resident,Extant,Introduced
46,Fresno,3445,95305,353354945,233637322.74,66,Patagioenas_fasciata,0.12,0.12,1.233273180075989,Resident,Extant,Native
46,Fresno,3445,95305,353354945,233637322.74,66,Stigmatopelia_chinensis,0.61,0.98,2.3137226820629504,NA,NA,NA
46,Fresno,3445,95305,353354945,233637322.74,66,Streptopelia_decaocto,8.07,5.44,27.415026802579426,Resident,Extant,Introduced
46,Fresno,3445,95305,353354945,233637322.74,66,Zenaida_macroura,49.9,55.83,69.61576680580312,Resident,Extant,Native
49,Sacramento,29631,1084486,830688076,605945417.53,72,Columba_livia,7.48,7.31,35.67530544437155,Resident,Extant,Introduced
49,Sacramento,29631,1084486,830688076,605945417.53,72,Patagioenas_fasciata,0.04,0.05,0.6332640579479291,Resident,Extant,Native
49,Sacramento,29631,1084486,830688076,605945417.53,72,Streptopelia_decaocto,2.22,3.33,14.243976533699392,Resident,Extant,Introduced
49,Sacramento,29631,1084486,830688076,605945417.53,72,Zenaida_asiatica,0.01,0.01,0.13494719430888605,NA,NA,NA
49,Sacramento,29631,1084486,830688076,605945417.53,72,Zenaida_macroura,56.11,64.23,71.06337739713676,Resident,Extant,Native
57,Mexicali,98,2875,186124795,25666502.78,13,Columba_livia,64.29,46.61,82.12996975351855,Resident,Extant,Introduced
