species_name,birdlife_id,birdlife_common_name,ebird_id,ebird_common_name,ebird_species_fullname,ebird_species_name,jetz_species_name
Columba livia,22690066,Rock Dove,1874,Rock Pigeon,Columba livia,Columba livia,Columba_livia
Columba livia,22690066,Rock Dove,1875,Rock Pigeon (Wild type),Columba livia (Wild type),Columba livia,Columba_livia
Columba livia,22690066,Rock Dove,1889,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),Columba livia,Columba_livia
Columba rupestris,22690074,Hill Pigeon,1890,Hill Pigeon,Columba rupestris,Columba rupestris,Columba_rupestris
Columba leuconota,22690077,Snow Pigeon,1894,Snow Pigeon,Columba leuconota,Columba leuconota,Columba_leuconota
Columba guinea,22690080,Speckled Pigeon,1897,Speckled Pigeon,Columba guinea,Columba guinea,Columba_guinea
Columba albitorques,22690084,White-collared Pigeon,1900,White-collared Pigeon,Columba albitorques,Columba albitorques,Columba_albitorques
Columba oenas,22690088,Stock Dove,1901,Stock Dove,Columba oenas,Columba oenas,Columba_oenas
Columba eversmanni,22690097,Yellow-eyed Pigeon,1904,Yellow-eyed Pigeon,Columba eversmanni,Columba eversmanni,Columba_eversmanni
Columba oliviae,22690092,Somali Pigeon,1905,Somali Pigeon,Columba oliviae,Columba oliviae,Columba_oliviae
Columba palumbus,22690103,Common Woodpigeon,1906,Common Wood-Pigeon,Columba palumbus,Columba palumbus,Columba_palumbus
Columba palumbus,22690103,Common Woodpigeon,1907,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],Columba palumbus,Columba_palumbus
Columba palumbus,22690103,Common Woodpigeon,1912,Common Wood-Pigeon (Cinnamon-necked),Columba palumbus casiotis,Columba palumbus,Columba_palumbus
Columba trocaz,22690112,Madeira Laurel-pigeon,1913,Trocaz Pigeon,Columba trocaz,Columba trocaz,Columba_trocaz
Columba bollii,22690117,Dark-tailed Laurel-pigeon,1914,Bolle's Pigeon,Columba bollii,Columba bollii,Columba_bollii
Columba junoniae,22690122,White-tailed Laurel-pigeon,1916,Laurel Pigeon,Columba junoniae,Columba junoniae,Columba_junoniae
