ebird_species_name,beak_width,hwi,mass,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle
Alectroenas madagascariensis,4.1,33.6,173,Forest,2,1,Herbivore,Frugivore,Insessorial
Alectroenas pulcherrimus,4.5,25.2,165,Forest,2,1,Herbivore,Frugivore,Insessorial
Alectroenas sganzini,4.4,30.7,158,Forest,2,1,Herbivore,Frugivore,Insessorial
Pampusana beccarii,2.4,29.2,78.7,Forest,1,1,Herbivore,Omnivore,Terrestrial
Pampusana canifrons,2.8,26.5,135,Forest,1,1,Herbivore,Granivore,Terrestrial
Pampusana erythroptera,3.6,30.8,113.2,Woodland,1,1,Herbivore,Granivore,Terrestrial
Pampusana hoedtii,3.9,28.7,135,Forest,1,1,Herbivore,Frugivore,Terrestrial
Pampusana jobiensis,3.4,34.5,135,Forest,1,1,Herbivore,Omnivore,Terrestrial
Pampusana kubaryi,3.4,27.8,162,Forest,1,1,Omnivore,Omnivore,Terrestrial
Pampusana rubescens,2.9,26.7,60,Shrubland,1,1,Herbivore,Granivore,Insessorial
Pampusana sanctaecrucis,3,27.8,171,Forest,1,1,Herbivore,Omnivore,Terrestrial
Pampusana stairi,3.4,31.2,171,Forest,3,1,Herbivore,Omnivore,Terrestrial
Pampusana xanthonura,3.8,28.4,110.6,Forest,1,1,Herbivore,Frugivore,Insessorial
Caloenas nicobarica,5.4,32.8,537.9,Forest,1,2,Herbivore,Omnivore,Terrestrial
Chalcophaps indica,3.1,28.7,136.5,Forest,1,1,Herbivore,Omnivore,Generalist
Chalcophaps longirostris,2.8,32,136.5,Forest,1,1,Herbivore,Omnivore,Generalist
Chalcophaps stephani,2.6,32.4,129,Forest,3,1,Herbivore,Omnivore,Generalist
Claravis pretiosa,3.2,26.7,68.2,Forest,1,2,Herbivore,Granivore,Generalist
Columba albinucha,4.2,42,325,Forest,2,1,Herbivore,Frugivore,Insessorial
Columba albitorques,4.5,43.7,277,Grassland,2,1,Herbivore,Granivore,Terrestrial
