jetz_species_name,gape_width,trophic_trait,locomotory_trait,mass,handwing_index
Alectroenas_madagascariensis,4.1,-0.02845653443656577,0.15493142063852214,173,33.6
Alectroenas_pulcherrima,4.5,-0.00547713485170871,-0.4540226683601891,165,25.2
Alectroenas_sganzini,4.4,-0.01122198474792295,-0.2357183723040482,158,30.7
Aplopelia_larvata,3.3,-0.07441533360627985,-1.4478817004052569,155,29.3
Caloenas_nicobarica,5.4,0.04622651421421965,5.210399329307071,537.9,32.8
Chalcophaps_indica,2.95,-0.09452230824302973,-1.1692564804388654,136.5,30.35
Chalcophaps_stephani,2.6,-0.11462928287977965,-1.8557660430364689,129,32.4
Claravis_godefrida,3.4,-0.06867048371006558,-2.8898390243550356,43.5,34.7
Claravis_mondetoura,2.8,-0.10313958308735115,-2.9530323732133925,89.7,28.3
Claravis_pretiosa,3.2,-0.08016018350249408,-3.3034682168824627,68.2,26.7
Columba_albinucha,4.2,-0.02271168454035148,0.8443134081842334,325,42
Columba_albitorques,4.5,-0.00547713485170871,3.004376969160795,277,43.7
Columba_argentina,5.9,0.07495076369529095,3.808655954630791,330,37.8
Columba_arquatrix,4.3,-0.01696683464413724,3.28012976417908,400,37.1
Columba_bollii,5.3,0.04048166431800536,2.6252168760106542,308.5,36.4
Columba_delegorguei,3.8,-0.045691084125208545,0.2870629682514508,133,35.9
Columba_elphinstonii,4.9,0.01750226473314835,2.2575464826529412,379,33.8
Columba_eversmanni,3.8,-0.045691084125208545,2.0277524868043706,202,47.2
Columba_guinea,4.1,-0.02845653443656577,3.446730411169294,352,41
Columba_hodgsonii,4.3,-0.01696683464413724,3.3145988635563652,308.5,40.3
Columba_iriditorques,3.1,-0.08590503339870835,-0.7297754633784743,125.9,35.6
Columba_janthina,4.8,0.011757414836934061,3.9924911513096486,397,34.2
Columba_junoniae,5.1,0.02899196452557683,2.912459370821367,440,30.1
Columba_leucomela,5.1,0.02899196452557683,3.5214134598200784,420,32.2
Columba_leuconota,4.1,-0.02845653443656577,3.6363104577443637,284,44.5
Columba_livia,4.3,-0.01696683464413724,2.9469284701986522,354.2,45.1
Columba_malherbii,4.2,-0.02271168454035148,0.2698284185628073,308.5,37.3
Columba_oenas,6.8,0.12665441276121928,2.671175675180369,290.8,42.5
Columba_oliviae,3.7,-0.05143593402142278,1.8783863895028001,308.5,43.4
Columba_pallidiceps,7.3,0.15537866224229058,3.6592898573292207,459,39.7
Columba_palumboides,6.8,0.12665441276121928,4.21079544736579,520,34.7
Columba_palumbus,8,0.1955926115157904,4.486548242384075,490,41.2
Columba_pollenii,5.2,0.03473681442179112,3.234170965009365,308.5,35.9
Columba_pulchricollis,4.3,-0.01696683464413724,2.0622215861816557,330,38
Columba_punicea,5.1,0.02899196452557683,2.9699078697835097,434.4,35
Columba_rupestris,3.9,-0.03994623422899428,3.1307636668775096,245.4,48.6
Columba_sjostedti,4.4,-0.01122198474792295,2.786072673104654,308.5,37.7
Columba_thomensis,5.6,0.057716214006648135,3.733972905980007,428.7,35.6
Columba_torringtoniae,4.8,0.011757414836934061,1.3728395986359447,308.5,34.6
Columba_trocaz,6.4,0.10367501317636225,3.8431250540080764,440,35.6
Columba_unicincta,4.4,-0.01122198474792295,2.464361078916654,389.1,38.4
Columba_vitiensis,5.7,0.06346106390286242,2.7630932735197966,353,32.3
Columbina_buckleyi,2.5,-0.12037413277599392,-4.79712918989817,57.5,22.2
Columbina_cruziana,3.1,-0.08590503339870835,-4.693721891766314,50.1,24
Columbina_cyanopis,2.4,-0.12611898267220817,-5.790988221943238,45.6,19.7
Columbina_inca,3.5,-0.06292563381385131,-4.354775747889672,47.5,26
Columbina_minuta,2.4,-0.12611898267220817,-5.3026759807650254,32.6,18.7
Columbina_passerina,2.5,-0.12037413277599392,-4.980964386577027,35.4,25.4
Columbina_picui,3.2,-0.08016018350249408,-4.619038843115528,47,20.1
Columbina_squammata,2.8,-0.10313958308735115,-4.211154500484316,52.9,20.9
Columbina_talpacoti,3.1,-0.08590503339870835,-4.682232191973885,46,19.9
Cryptophaps_poecilorrhoa,6.4,0.10367501317636225,3.6190759080557218,467,28.4
Didunculus_strigirostris,10.2,0.32197930923250406,1.1315559029949465,400,30.1
Drepanoptila_holosericea,3.7,-0.05143593402142278,-1.1663840554907576,215,20.5
Ducula_aenea,8.433333333333334,0.2204869610660522,4.086323699614481,545,30.233333333333334
Ducula_aurorae,6.6,0.11516471296879073,3.774186855253506,507.2,31.3
Ducula_badia,7.35,0.15825108719039768,3.5472652843530437,486,27.799999999999997
Ducula_bakeri,5.8,0.06920591379907666,2.1483943346248697,394,26.4
Ducula_basilica,7.6,0.17261321193093335,2.3264846814075133,507.2,29.55
Ducula_bicolor,6.2,0.09218531338393372,3.3260885633487933,440,36.7
Ducula_brenchleyi,6.1,0.08644046348771943,2.751603573727367,380,37.2
Ducula_carola,6,0.08069561359150519,2.349464080992369,289,36.5
Ducula_chalconota,6.1,0.08644046348771943,2.498830178293941,502,26
Ducula_cineracea,5.3,0.04048166431800536,2.671175675180369,507.2,27.8
Ducula_concinna,8.1,0.20133746141200465,6.210003211248351,804.7,32
Ducula_finschii,6.1,0.08644046348771943,1.8841312393990142,343.9,29.6
Ducula_forsteni,6.1,0.08644046348771943,4.1418572486112195,510,28.8
Ducula_galeata,8.6,0.23006171089307595,7.23258649277449,605,32.8
Ducula_goliath,7.4,0.16112351213850487,7.175137993812347,600,28.5
Ducula_lacernulata,6.6,0.11516471296879073,2.2805258822377983,150,25.8
Ducula_latrans,6.6,0.11516471296879073,3.5903516585746504,365.1,29
Ducula_luctuosa,7.1,0.14388896244986205,4.256754246535504,410,31
Ducula_melanochroa,7.7,0.17835806182714764,4.2912233459127895,665,31.7
Ducula_mindorensis,7.6,0.17261321193093335,3.544392859404936,507.2,27.6
Ducula_mullerii,7.8,0.18410291172336188,3.7167383562913634,574.9,27.1
Ducula_myristicivora,9.25,0.26740323521846865,4.472186117643539,535,32.65
Ducula_oceanica,6.2,0.09218531338393372,2.671175675180369,371.5,27
Ducula_pacifica,7.4,0.16112351213850487,4.371651244459789,394.2,32.5
Ducula_perspicillata,8.15,0.2042098863601118,4.859963485638001,667,32.8
Ducula_pickeringii,6.9,0.13239926265743357,3.6592898573292207,377,31.5
Ducula_pinon,9.1,0.25878596037414725,5.2333787288919265,756,30
Ducula_pistrinaria,8.4,0.21857201110064747,4.107388149233934,515,29.3
Ducula_poliocephala,6.4,0.10367501317636225,2.510319878086369,555,29.8
Ducula_radiata,5.7,0.06346106390286242,2.0622215861816557,295,32.6
Ducula_rosacea,6.3,0.09793016328014796,3.486944360442793,385.6,32.6
Ducula_rubricera,8.1,0.20133746141200465,4.049939650271791,652,33
Ducula_rufigaster,6.3,0.09793016328014796,1.6256129940693724,436,27.6
Ducula_spilorrhoa,7,0.1381441125536478,4.187816047780932,464,33
Ducula_subflavescens,7.1,0.14388896244986205,3.8316353542156487,440,38.9
Ducula_whartoni,6.6,0.11516471296879073,4.75081133760993,571.2,28.8
Ducula_zoeae,6,0.08069561359150519,2.9584181699910816,568,26
Gallicolumba_beccarii,2.4000000000000004,-0.12611898267220817,-3.6826283100326034,78.7,29.25
Gallicolumba_canifrons,2.8,-0.10313958308735115,-3.177081519165749,135,26.5
Gallicolumba_crinigera,3.1,-0.08590503339870835,-1.0399973577740447,192.2,28.6
Gallicolumba_erythroptera,3.6,-0.05718078391763705,-1.5972477977068273,113.2,30.8
Gallicolumba_hoedtii,3.9,-0.03994623422899428,-1.1261701062172587,135,28.7
Gallicolumba_jobiensis,3.4,-0.06867048371006558,-1.3846883515469002,135,34.5
Gallicolumba_keayi,3.4,-0.06867048371006558,-1.6719308463576132,190.5,32.8
Gallicolumba_kubaryi,3.4,-0.06867048371006558,-1.281281053415043,162,27.8
Gallicolumba_luzonica,2.9,-0.09739473319113688,-1.4708610999901142,196,27.4
Gallicolumba_menagei,3.5,-0.06292563381385131,-0.5631748163882604,196,30.2
Gallicolumba_platenae,4.2,-0.02271168454035148,-0.8733967107838307,196,27.6
Gallicolumba_rubescens,2.9,-0.09739473319113688,-2.7404729270534656,60,26.7
Gallicolumba_rufigula,2.6,-0.11462928287977965,-2.2119467366017522,130,28.4
Gallicolumba_sanctaecrucis,3,-0.09164988329492262,-2.4302510326578948,171,27.8
Gallicolumba_stairi,3.4,-0.06867048371006558,-1.195108304971829,171,31.2
Gallicolumba_tristigmata,4.7,0.00601256494071982,-0.5172160172185457,275,25.8
Gallicolumba_xanthonura,3.8,-0.045691084125208545,-1.6719308463576132,110.6,28.4
Geopelia_cuneata,2.2,-0.13760868246463667,-4.544355794464742,31.6,35.6
Geopelia_humeralis,3.4,-0.06867048371006558,-1.729379345319756,128.4,30.2
Geopelia_maugeus,2.7,-0.10888443298356539,-3.9009326060887455,56.6,30.7
Geopelia_placida,2.4,-0.12611898267220817,-3.981360504635745,47.8,33.2
Geopelia_striata,2.5,-0.12037413277599392,-4.0962575025600305,56.6,27.7
Geophaps_plumifera,4.5,-0.00547713485170871,-3.539007062627247,94.3,29.2
Geophaps_scripta,4.5,-0.00547713485170871,-1.5915029478106133,221.4,27
Geophaps_smithii,5.2,0.03473681442179112,-2.0396012397153247,194,24.3
Geotrygon_albifacies,3.7,-0.05143593402142278,-1.5455441486408985,238,25.2
Geotrygon_caniceps,2.9,-0.09739473319113688,-1.0486146326183647,192,30.75
Geotrygon_carrikeri,5.7,0.06346106390286242,-1.2525568039339716,267,23.1
Geotrygon_chiriquensis,3.5,-0.06292563381385131,-1.1548943556983298,308,21.4
Geotrygon_chrysia,3,-0.09164988329492262,-0.8906312604724725,169,32.3
Geotrygon_costaricensis,3.5,-0.06292563381385131,-1.6719308463576132,285.1,19.9
Geotrygon_frenata,4.6,2.677150445055298e-4,-0.7182857635860448,307,18.2
Geotrygon_goldmani,5,0.023247114629362593,-1.5397992987446847,258,18.4
Geotrygon_lawrencii,3.4,-0.06867048371006558,-1.769593294593255,220,24.3
Geotrygon_linearis,3.5,-0.06292563381385131,-1.0227628080854012,261,20
Geotrygon_montana,3.5,-0.06292563381385131,-1.8270417935553978,133.9,27.1
Geotrygon_mystacea,3.2,-0.08016018350249408,-0.3621050700207613,211,28.8
Geotrygon_saphirina,3.3,-0.07441533360627985,-1.8988524172580759,166,27.75
Geotrygon_veraguensis,2.6,-0.11462928287977965,-2.0740703390926116,155,27.1
Geotrygon_versicolor,3.8,-0.045691084125208545,-0.7182857635860448,225,29.3
Geotrygon_violacea,2.5,-0.12037413277599392,-1.4306471507166134,95.2,33.3
Goura_cristata,8.5,0.2243168609968617,10.754179479153832,2000,17.6
Goura_scheepmakeri,8.3,0.2128271612044332,10.82599010285651,2235,18.1
Goura_victoria,8.1,0.20133746141200465,10.46693698434312,2384,18.9
Gymnophaps_albertisii,4.8,0.011757414836934061,1.8324275903330856,259,37.5
Gymnophaps_mada,6.1,0.08644046348771943,2.352336505940477,334,33.05
Gymnophaps_solomonensis,6.2,0.09218531338393372,2.6826653749727964,335,34.5
Hemiphaga_novaeseelandiae,6.95,0.13527168760554067,5.514876373806428,721,31.25
Henicophaps_albifrons,7.1,0.14388896244986205,1.395818998220802,247,27.5
Henicophaps_foersteri,6.4,0.10367501317636225,1.9932833874270854,247,25.8
Leptotila_battyi,2.5,-0.12037413277599392,-1.9132145419986115,160.6,28.9
Leptotila_cassini,3.4,-0.06867048371006558,-2.068325489196396,159,24
Leptotila_conoveri,2.8,-0.10313958308735115,-1.8557660430364689,153.5,23.6
Leptotila_jamaicensis,3,-0.09164988329492262,-1.2238325544529003,165,31
Leptotila_megalura,3.2,-0.08016018350249408,-1.0399973577740447,218,26.1
Leptotila_ochraceiventris,3.1,-0.08590503339870835,-2.062580639300182,146,25.3
Leptotila_pallida,3.4,-0.06867048371006558,-1.844276343244041,122.8,25.1
Leptotila_plumbeiceps,2.9,-0.09739473319113688,-1.568523548225756,170,26.8
Leptotila_rufaxilla,3.4,-0.06867048371006558,-1.8844902925175402,157,24.5
Leptotila_verreauxi,3.6,-0.05718078391763705,-1.8155520937629699,146.9,22.1
